conference,conf.date,call,close,extended
AOCMP_2019,2019-10-28,2019-03-06,2019-06-30,2019-07-02
Perth_2019,2019-10-28,2019-03-06,2019-06-02,2019-06-10
Adelaide_2018,2018-10-29,2018-03-03,2018-06-10,2018-06-17
Hobart_2017,2017-10-29,2017-03-06,2017-06-01,2017-06-07
Perth_2013,2013-11-03,2013-03-01,2013-07-12,2013-07-26
