meeting,city,year,conf_date,call_date,close_date,extended_date,submissions
AOCMP,Perth,2019,2019-10-28,2019-03-06,2019-06-30,2019-07-02,AOCMP_2019.csv
EPSM,Perth,2019,2019-10-28,2019-03-06,2019-06-02,2019-06-10,Perth_2019_details.csv
EPSM,Adelaide,2018,2018-10-29,2018-03-03,2018-06-10,2018-06-17,Adelaide_2018.csv
EPSM,Hobart,2017,2017-10-29,2017-03-06,2017-06-01,2017-06-07,Hobart_2017.csv
EPSM,Perth,2013,2013-11-03,2013-03-01,2013-07-12,2013-07-26,Perth_2013_details.csv
